"","id","label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","modularity_class","componentnumber","strongcompnum"
"87","NorCalFF15","NorCalFF15",NA,285,26,311,370,70,440,13,0.261736049601417,0.363057838946164,131796.73719374,0,0,324
"220","Gremlinbroom","Gremlinbroom",NA,0,26,26,0,47,47,13,0.261368653421634,0.363120241245242,0,0,0,609
"1021","still_berning","still_berning",NA,0,26,26,0,34,34,13,0.267344233318604,0.372177161681295,0,0,0,1771
"1307","ColdWarrior2000","ColdWarrior2000",NA,0,26,26,0,43,43,12,0.272768057424854,0.362477393768513,0,0,0,2043
"2089","TheresaSchroe14","TheresaSchroe14",NA,0,26,26,0,37,37,13,0.258397932816537,0.356500860250861,0,0,0,2822
"2276","sardnas51","sardnas51",NA,15,26,41,18,39,57,13,0.260700389105058,0.358513846573549,2330.1372317947,0,0,500
"2979","seiuhcpa","seiuhcpa",NA,32,26,58,40,35,75,13,0.266696750902527,0.373012717682769,55455.3579456192,0,0,324
"7589","Bernlennials","Bernlennials",NA,10,26,36,10,42,52,12,0.280320906087777,0.373622042940226,2782.95524871963,0,0,498
"12522","StellaK22","StellaK22",NA,0,26,26,0,44,44,13,0.260166156536948,0.359720755435042,0,0,0,12946
"1267","gracchus56","gracchus56",NA,0,25,25,0,40,40,13,0.265359477124183,0.365271783498385,0,0,0,1999
"2715","gig_42","gig_42",NA,0,25,25,0,37,37,13,0.266815144766147,0.37084115105818,0,0,0,3435
"3616","ibpixiechick","ibpixiechick",NA,0,25,25,0,27,27,14,0.224271486536333,0.306486459446985,0,0,0,4329
"17352","unravelingjenna","unravelingjenna",NA,1,25,26,1,31,32,12,0.224340175953079,0.282708150600307,610,17,0,17554
"1257","JUNEKIMBARBIE","JUNEKIMBARBIE",NA,0,24,24,0,88,88,13,0.261098901098901,0.36021411248684,0,0,0,1988
"16521","NinosIndex","NinosIndex",NA,0,24,24,0,35,35,12,0.273727647867951,0.363173914304568,0,0,0,16738
"21469","galarole08","galarole08",NA,0,24,24,0,31,31,14,0.224634968176713,0.30567612017612,0,0,0,21519
"52","Show_Me15","Show_Me15",NA,1117,23,1140,2012,48,2060,13,0.260927152317881,0.359137929188691,571843.607501322,0,0,324
"1476","donahuejm","donahuejm",NA,13,23,36,17,29,46,13,0.267786124613345,0.369637815429895,1158.02703624553,0,0,501
"1520","BLACKFLAGchi","BLACKFLAGchi",NA,12,23,35,20,37,57,13,0.260548064375816,0.358320282944658,4337.04122846108,0,0,2262
"1645","MMstrikesback","MMstrikesback",NA,0,23,23,0,41,41,13,0.258503401360544,0.35436723364355,0,0,0,2390
"4155","figue32bj","figue32bj",NA,143,23,166,162,28,190,13,0.259894459102902,0.361317447358057,131663.180531119,0,0,324
"4786","SaveMain_St","SaveMain_St",NA,47,23,70,49,29,78,13,0.247694886839899,0.333785419318415,108007.296532954,0,0,324
"74","irina_florescu","irina_florescu",NA,0,22,22,0,25,25,13,0.261021388040157,0.360396626784587,0,0,0,399
"157","FightFor15FL","FightFor15FL",NA,558,22,580,894,67,961,13,0.255844155844156,0.350883155197877,247196.907973689,0,0,324
"335","FightFor15WI","FightFor15WI",NA,34,22,56,44,66,110,13,0.258530183727034,0.357792348655293,3146.35636513599,0,0,324
"1105","AllynnUmel","AllynnUmel",NA,29,22,51,31,32,63,13,0.262084257206208,0.361309389989594,69568.7501673446,0,0,324
"1205","fredthefrugal","fredthefrugal",NA,0,22,22,0,26,26,13,0.25948539031836,0.356947646191344,0,0,0,1946
"1671","UnionWorkerNY","UnionWorkerNY",NA,0,22,22,0,30,30,13,0.261518209741115,0.361270440968428,0,0,0,2414
"1742","pragmactivist","pragmactivist",NA,173,22,195,192,28,220,12,0.280760095011876,0.372501117044265,82431.261392937,0,0,324
