"","retweeter","retweeted"
"29901","SUNNYBOYBLACK","WorkFamilyCA"
"29902","michaeltulmen","scrowder"
"29903","ButButButWHAT","SenSanders"
"29904","shadowfigure1","SenWarren"
"29905","vampira78","zachhaller"
"29906","Center4AccGovt","DailyCaller"
"29907","ZACHSUM","scrowder"
"29908","leoalyg","NBCNews"
"29909","pelhamprog","EconomicPolicy"
"29910","KimSanCartier","SenSanders"
"29911","rodadams46","fightfor15mass"
"29912","KingPamon28","chifightfor15"
"29913","mnemosynesonnet","AriseChicago"
"29914","amygaston0917","MarkRuffalo"
"29915","shadowfigure1","SenSanders"
"29916","cknapp34","RoseAnnDeMoro"
"29917","amygaston0917","SenWarren"
"29918","KatharsisBeDef","scrowder"
"29919","alejaechep","SenWarren"
"29920","amygaston0917","SenSanders"
"29921","_kennyalan_","RottenClinton2"
"29922","eligerzon","fightfor15mass"
"29923","pacificgio","PCsBeard"
"29924","Dot2DotSeurat","jessekb"
"29925","realtybiznews","WorkFamilyCA"
"29926","magmaticmelissa","zachhaller"
"29927","fightfor15","NBCNews"
"29928","KatharsisBeDef","michellemalkin"
"29929","VTO2014","tomborelli"
"29930","EagleD4695","Fightfor15LA"
"29931","malinda75322","notalemming"
"29932","stargazehill","pragmactivist"
"29933","vampira78","zachhaller"
"29934","94ickos","chifightfor15"
"29935","northernfisch","SenSanders"
"29936","AvanAdni","raider_truth"
"29937","GwennyThot","mjr9201"
"29938","marco_anthony24","DBloom451"
"29939","SamyaRedit","NBCNews"
"29940","KatharsisBeDef","MattWalshBlog"
"29941","bannerite","WorkFamilyCA"
"29942","achaycharrua","CortocircuitOFi"
"29943","celestegee70","chifightfor15"
"29944","WabaLabaDooDa","chifightfor15"
"29945","shawndrop","SenSanders"
"29946","Matt_Holck","fightfor15"
"29947","ProVega350","SenWarren"
"29948","snugstill","altageno"
"29949","vicegrip210","SenSanders"
"29950","ladyvictoria8","DerenicByrd"
"29951","catlaugh12","AllDayLeeV"
"29952","Suaznne140","TheMarkRomano"
"29953","BizzieMimi","EconomicPolicy"
"29954","travel611","zachhaller"
"29955","justincoIon","SenSanders"
"29956","KatieCVFowler","Fightfor15LA"
"29957","cmrtrash","chifightfor15"
"29958","spacexcherub","NBCNews"
"29959","KatharsisBeDef","EdmondScofield"
"29960","sleepylemur","AriseChicago"
"29961","pet1713","chifightfor15"
"29962","thebushpirate","scrowder"
"29963","guywithbrain","EconomicPolicy"
"29964","headwatersesh","NBCNews"
"29965","fartkebab","EconomicPolicy"
"29966","pet1713","chifightfor15"
"29967","Loked420","EconomicPolicy"
"29968","whitedogl","SenWarren"
"29969","kopcorner","GoodAirports"
"29970","catebramble","FastCoExist"
"29971","qsave777","SusanLiTV"
"29972","filafresh","NBCNews"
"29973","athenasowl78","_ThatGuyT"
"29974","kellieuukelly","FF15ChildCare"
"29975","SaVonniYestanti","regibaby67"
"29976","MarieJenkins10","fightfor15texas"
"29977","tish_monique","SenSanders"
"29978","pet1713","chifightfor15"
"29979","twilight2_0","SenSherrodBrown"
"29980","LongfellowJean","Fightfor15LA"
"29981","YourTypicalNerd","pedos4trump"
"29982","LongfellowJean","Fightfor15LA"
"29983","Babarushka","Show_Me15"
"29984","twilight2_0","ValarieLong13"
"29985","GabrielDanRadu","DerenicByrd"
"29986","angelnjacksmom2","figue32bj"
"29987","Green_Arkansas","SenWarren2020"
"29988","jmzguy02","caroljsroth"
"29989","Ayo_its_Anna","scrowder"
"29990","JAG_of_MA","SenWarren"
"29991","TPA_Tufts","RaiseUpMA"
"29992","JenniferABurke","MattWalshBlog"
"29993","LongfellowJean","AFSCME"
"29994","cherieannparker","seiu1021"
"29995","MarieJenkins10","STLFacFwd"
"29996","impe20uous","DoRtChristians"
"29997","nicapamela","zachhaller"
"29998","USAjobs2016","NBCNews"
"29999","SaVonniYestanti","NBCNews"
"30000","lettywho1","NBCNews"
"30001","drakestevens","ladailynews"
"30002","94ickos","chifightfor15"
"30003","PoliticsUSTD","chifightfor15"
"30004","erictheteamster","GoodAirports"
"30005","EasterlySnake","scrowder"
"30006","10News","10NewsRBianco"
"30007","cristhianebasta","CortocircuitOFi"
"30008","Het32000","TheMarkRomano"
"30009","vibert38","SenWarren"
"30010","94ickos","Fightfor15LA"
"30011","LongfellowJean","policylink"
"30012","SaVonniYestanti","standup_kc"
"30013","sof1amart1nez","SenSanders"
"30014","geekyeddieg","NewsHour"
"30015","ProgressiveChi","ValarieLong13"
"30016","AreekaFranklin","SenSanders"
"30017","masonictraveler","SenSanders"
"30018","KalasiaRicher","willthethinker"
"30019","mario_vsqz","resnikoff"
"30020","bachic2","SenWarren"
"30021","stcroixfan","ChrisJZullo"
"30022","patriotcate","EdmondScofield"
"30023","GeminijlwWilson","15NowMN"
"30024","A_McDo","EconomicPolicy"
"30025","paydirt22rt","EdmondScofield"
"30026","ArcticFox_am_I","flyLAXairport"
"30027","NBCLatino","NBCNews"
"30028","nzingharahni7","Fightfor15LA"
"30029","GeminijlwWilson","chifightfor15"
"30030","ryanthekeymaker","Shimmyfab"
"30031","muslimsinglemom","SenSanders"
"30032","mofoc717","NBCNews"
"30033","PlatosStudent","pedos4trump"
"30034","CUBASIKASTRONO","DrSueDVM"
"30035","ArcticFox_am_I","MenaceXV"
"30036","rachelnoerd","NationalAction"
"30037","Andyrguapo","chifightfor15"
"30038","GeminijlwWilson","Fightfor15LA"
"30039","MediaKristina","michellemalkin"
"30040","ginag63","zachhaller"
"30041","afarnitano","1199mass"
"30042","GeminijlwWilson","ATLRaiseUp"
"30043","karinamireya117","chifightfor15"
"30044","meplus2diabetic","Fightfor15LA"
"30045","ArcticFox_am_I","gamer825"
"30046","HappyFeminist","zachhaller"
"30047","ValerieBerlin","BerlinRosen"
"30048","meplus2diabetic","knxpete"
"30049","briskwalk","NBCNews"
"30050","GeminijlwWilson","fightfor15"
"30051","Het32000","notalemming"
"30052","iameuru","SenWarren"
"30053","AirportPoliceLA","chifightfor15"
"30054","Old_Bern_Kenobi","Fightfor15LA"
"30055","DishMurphy","SenWarren"
"30056","MarieJenkins10","GoodAirports"
"30057","glaring4","Corporatocrazy"
"30058","gkielec","NBCNews"
"30059","mariannalemos","RoseAnnDeMoro"
"30060","coruscate","TheNewThinker"
"30061","FonzSolo1","SenSanders"
"30062","stcroixfan","EconomicPolicy"
"30063","GeminijlwWilson","norwind"
"30064","EmmyHildy","EconomicPolicy"
"30065","cocoeyes2","BLeeForCongress"
"30066","94ickos","fightfor15"
"30067","tall_girl_60","standup_kc"
"30068","SEIUhciimk","standup_kc"
"30069","JakeABecker","NBCNews"
"30070","Angrymike281","_Teufelshunde"
"30071","cegossett","fightfor15mass"
"30072","NovaKoyote","Fightfor15LA"
"30073","GeminijlwWilson","Fightfor15LA"
"30074","mecca1972","ChrisMurphyCT"
"30075","ghaleonmagicemp","NBCNews"
"30076","Economicopoly","AFLCIO"
"30077","helenmag","SenSanders"
"30078","memangrum","NBCNews"
"30079","welcomematt6","itsRamel"
"30080","GeminijlwWilson","EdmondScofield"
"30081","rach_petes","EliseYost"
"30082","Marypat714","seiu1021"
"30083","GeminijlwWilson","Fightfor15LA"
"30084","PHAIRR1","michellemalkin"
"30085","kateagoodman","zachhaller"
"30086","myroommatekarl","TheNewThinker"
"30087","Economicopoly","praxagora"
"30088","amadbaker","lingling23"
"30089","MassInterfaith","NEJewishLabor"
"30090","GeminijlwWilson","stephaniepenne8"
"30091","cegossett","fightfor15mass"
"30092","helenmag","ChrisMurphyCT"
"30093","acmcoop","policylink"
"30094","mcgeehan1","DBloom451"
"30095","alycast19","SenSanders"
"30096","lyabeer","ToConservatives"
"30097","DocGamester","FastfoodRights"
"30098","tall_girl_60","itsRamel"
"30099","SHAHINOVE","SenWarren"
"30100","sleepylemur","zachhaller"
"30101","ron_nica","Fightfor15LA"
"30102","tall_girl_60","SenSanders"
"30103","WeWishForPeace","jobhaver"
"30104","patriotcate","LawlessPirate"
"30105","trixywh","GeneCBS8"
"30106","bmenyhert","MattWalshBlog"
"30107","patriotcate","holnortes"
"30108","tehrenninator","EconomicPolicy"
"30109","perez_bartolome","Fightfor15LA"
"30110","ColdWarrior2000","chifightfor15"
"30111","yolandabdacy","fightfor15mass"
"30112","fightfor15","policylink"
"30113","boliviapaige","MattWalshBlog"
"30114","GeminijlwWilson","EconomicPolicy"
"30115","conserva8","emrutherford90"
"30116","____Jackaberson","SenWarren"
"30117","conserva8","LibsNoFun"
"30118","afarnitano","NEJewishLabor"
"30119","GeminijlwWilson","ToConservatives"
"30120","DebZone111","MarkRuffalo"
"30121","JkbComic","DBloom451"
"30122","jimdeblasio","JaceRitchey"
"30123","BarCar565","MattWalshBlog"
"30124","skooks","TheNewThinker"
"30125","gjcmaia","democracynow"
"30126","OneOfAKind_Soul","MDfor15"
"30127","ColdWarrior2000","ValarieLong13"
"30128","GoodAirports","jbutler07"
"30129","GeminijlwWilson","32BJSEIU"
"30130","patriotcate","altageno"
"30131","sarahBMaine","RaiseUpMA"
"30132","meonisbonus","fightfor15"
"30133","Fallen_Violet","SenSanders"
"30134","conserva8","MattWalshBlog"
"30135","sleepylemur","democracynow"
"30136","JimRobert45","SenWarren"
"30137","MacfarmaldsDarn","SenSanders"
"30138","youtrifling","SenWarren"
"30139","PeterPslpacheco","RoseAnnDeMoro"
"30140","GeminijlwWilson","GoodAirports"
"30141","Kills_4_Thrills","thebushpirate"
"30142","Lisa18LMD","TheMarkRomano"
"30143","jamesel567","buell003"
"30144","falIen_shopfag","pedos4trump"
"30145","macbowers","chifightfor15"
"30146","pgrandee10","PortDriverUnion"
"30147","SolomonHJones","SenSanders"
"30148","mochamagnolia","SenWarren"
"30149","chooch051","NorCalFF15"
"30150","mrsssen","EconomicPolicy"
"30151","charcoaljar","EconomicPolicy"
"30152","afarnitano","fightfor15mass"
"30153","protestnow2016","SenWarren"
"30154","GeminijlwWilson","chifightfor15"
"30155","LucyIdaya","chifightfor15"
"30156","conlimonisal","Fightfor15LA"
"30157","afarnitano","fightfor15mass"
"30158","MobiLibrarian","AFLCIO"
"30159","conlimonisal","Fightfor15LA"
"30160","conlimonisal","Fightfor15LA"
"30161","BeatHillarynow","michellemalkin"
"30162","JordanMeehan","32BJSEIU"
"30163","GeminijlwWilson","RepJoseSerrano"
"30164","nredheffer","SenSanders"
"30165","afarnitano","fightfor15mass"
"30166","EECC506","EdmondScofield"
"30167","Gremlinbroom","AFSCME"
"30168","afarnitano","bostonjonas"
"30169","conserva8","EdmondScofield"
"30170","dave_deplorable","altageno"
"30171","trinia_trinia","mjr9201"
"30172","GeminijlwWilson","democracynow"
"30173","warmbreath","chifightfor15"
"30174","richbiev","fightfor15texas"
"30175","bitethismind","RobinHoodTax"
"30176","ChicaItaliana26","EconomicPolicy"
"30177","leoluminary","Fightfor15LA"
"30178","D_Stieber","WorkFamilyCA"
"30179","GeminijlwWilson","EBONYMag"
"30180","MelsensJohn","AFSCME"
"30181","PlatosStudent","jawesomeberg"
"30182","GeminijlwWilson","NorCalFF15"
"30183","ballweg_matt","KaraFinnstrom"
"30184","CarylDixonTWD54","nytimesbusiness"
"30185","ProudKYDemocrat","SenSanders"
"30186","swampish","SenWarren"
"30187","ballweg_matt","KaraFinnstrom"
"30188","fightfor15","AFSCME"
"30189","ArcticFox_am_I","WorkFamilyCA"
"30190","AirportPoliceLA","knxpete"
"30191","Jonurk","LawlessPirate"
"30192","ballweg_matt","KaraFinnstrom"
"30193","Me2S3M","jawesomeberg"
"30194","ballweg_matt","KaraFinnstrom"
"30195","regibaby67","SenWarren"
"30196","GeminijlwWilson","fightfor15"
"30197","CustoperSmith","FastfoodRights"
"30198","GeminijlwWilson","GoodAirports"
"30199","markpitts3","AHH_biz"
"30200","KathyNagelschmi","SenWarren"
"30201","SSRayzl","ldaluke"
"30202","lingeo","SenWarren"
"30203","ArcticFox_am_I","blessedjester"
"30204","_lusiaxo","ajplus"
"30205","GeminijlwWilson","STLFacFwd"
"30206","cardslyes","SenWarren"
"30207","TornadoesBoreMe","SenWarren"
"30208","bobby15248309","_ThatGuyT"
"30209","arlene_thequeen","SenSanders"
"30210","Womenpols","politicony"
"30211","angelnjacksmom2","RoseAnnDeMoro"
"30212","GeminijlwWilson","fightfor15texas"
"30213","sulkfiction","Fightfor15LA"
"30214","oracleodessey","SenSanders"
"30215","JaredJo49963257","JacquesLoveall"
"30216","TornadoesBoreMe","ChrisMurphyCT"
"30217","ArcticFox_am_I","fightfor15"
"30218","LoraBurnett10","SenSanders"
"30219","GeminijlwWilson","SenWarren"
"30220","annasanderson42","DCist"
"30221","BevPayton","SenSanders"
"30222","ZuzzBuzzman","EdmondScofield"
"30223","lahautj","ValarieLong13"
"30224","MRC_SLC","SenSanders"
"30225","cunningkatieham","SenWarren"
"30226","Barbreevesmccul","michellemalkin"
"30227","ideate_vision","SenWarren"
"30228","GeminijlwWilson","PortDriverUnion"
"30229","93SportySue","SenSanders"
"30230","sarahBMaine","RaiseUpMA"
"30231","D_Stieber","chifightfor15"
"30232","ElizabethO1973","flyLAXairport"
"30233","omerozkandan","aktolgaliyobaz"
"30234","yunibuny1","SenWarren"
"30235","tonnietripp","fightfor15"
"30236","WoelfferDarlene","SenSherrodBrown"
"30237","djneilarmstrong","Fightfor15LA"
"30238","bobby15248309","_ThatGuyT"
"30239","Bootz374","SenSanders"
"30240","mchelen","DCist"
"30241","chevyboy271","thebushpirate"
"30242","ReneeNal","ReneeNal"
"30243","radiondadurto","CortocircuitOFi"
"30244","ProudKYDemocrat","zachhaller"
"30245","KaryinBrooklyn","zachhaller"
"30246","the_fourthwave","sameyjay"
"30247","FrancescoCarr11","SenWarren"
"30248","rwp0079","EconomicPolicy"
"30249","_kennyalan_","MoeHamIdd"
"30250","AirportPoliceLA","Fightfor15LA"
"30251","maigreym","FightFor15FL"
"30252","sulkfiction","chifightfor15"
"30253","CoachACola","nowiknowmyabcs"
"30254","kateagoodman","seiu1021"
"30255","mariecountryman","ChrisJZullo"
"30256","ally_bugg","SenSanders"
"30257","chevyboy271","scrowder"
"30258","Amadis","EconomicPolicy"
"30259","Dystopianna","SenWarren"
"30260","lupotter54","SenSanders"
"30261","PamAnneMAGA","tomborelli"
"30262","lupotter54","SenSanders"
"30263","NorCalFF15","masseydaniel"
"30264","10News","10NewsRBianco"
"30265","customjewel","EdmondScofield"
"30266","tnpmr","JaceRitchey"
"30267","DimitriNosarev","KristinBTate"
"30268","HaydnGriffith","Fightfor15LA"
"30269","washumom","Fightfor15LA"
"30270","insomniac39012","EricWolfson"
"30271","R6Rider","misszanette"
"30272","Disabledpiggirl","zachhaller"
"30273","riwired","tomborelli"
"30274","MrRodriguez89","EconomicPolicy"
"30275","jayjohnheitmann","CynderIm"
"30276","patburns1977","Fightfor15LA"
"30277","LeighWilder42","EconomicPolicy"
"30278","AngelineHargre2","FastfoodRights"
"30279","AlexClaySays","Fightfor15LA"
"30280","ProudKYDemocrat","EconomicPolicy"
"30281","LongfellowJean","PortDriverUnion"
"30282","WilDickens","BenSpielberg"
"30283","jenrjones","DCist"
"30284","ProudKYDemocrat","Fightfor15LA"
"30285","ARaised_Eyebrow","jawesomeberg"
"30286","whisperwatch","Fightfor15LA"
"30287","ZachODrake","SenSanders"
"30288","NiteniteMelissa","SenWarren"
"30289","DerenicByrd","zachhaller"
"30290","MarieJenkins10","GoodAirports"
"30291","Jessiee09","SenSanders"
"30292","CorralesCoyote","CynderIm"
"30293","kelci_jordan","SenSanders"
"30294","EECC506","michellemalkin"
"30295","494c186c3c2b4f0","Just_a_Texan"
"30296","Nastyoldboomer","SenWarren"
"30297","cortiz11","32BJFlorida"
"30298","KTynot","Fightfor15LA"
"30299","AirportPoliceLA","flyLAXairport"
"30300","JulieJuliart","chifightfor15"
"30301","corgibvtts","SenSanders"
"30302","bconnollyyy","pragmactivist"
"30303","DerenicByrd","SenWarren"
"30304","SaVonniYestanti","tomborelli"
"30305","jdltek","TheMarkRomano"
"30306","ThatTonyBennett","SenWarren"
"30307","HaydnGriffith","chifightfor15"
"30308","suefolmar1","MattWalshBlog"
"30309","j_bloyd","chifightfor15"
"30310","jvasconcelosh","SenWarren"
"30311","Tats_McGee__","MattWalshBlog"
"30312","63Hilton","zachhaller"
"30313","cmahar3","AnthonyBialy"
"30314","sprbrighting","Fightfor15LA"
"30315","RuthHalleran","PCsBeard"
"30316","mariyastrauss","seiu1021"
"30317","DerenicByrd","CynderIm"
"30318","dinoFUNK_","chifightfor15"
"30319","hrdcrepnk","SenSanders"
"30320","cheryltunts","SenSanders"
"30321","Kodiskid","SenSanders"
"30322","cortiz11","32BJFlorida"
"30323","SoSofieFatale","ChrisJZullo"
"30324","mischeifmanage","SenSanders"
"30325","50svampy","JaceRitchey"
"30326","FamilyFarmCo","jwjnational"
"30327","SaVonniYestanti","stopsfevictions"
"30328","jomo32284","TheMarkRomano"
"30329","SerenaSonoma","fightfor15"
"30330","NorCalFF15","Rav_Mike"
"30331","plasmarob","EdmondScofield"
"30332","SaVonniYestanti","_Marakah_"
"30333","MakeupWithAHart","SenSanders"
"30334","homicidalslayer","davonmagwood"
"30335","jomo32284","LibsNoFun"
"30336","timeforgravy","jawesomeberg"
"30337","SoSofieFatale","ChrisJZullo"
"30338","Darkestnite9","scrowder"
"30339","SaVonniYestanti","JaceRitchey"
"30340","ProudKYDemocrat","ChrisJZullo"
"30341","ZayJenks","ChrisJZullo"
"30342","Carabbitlee","EconomicPolicy"
"30343","anatosaurus","chifightfor15"
"30344","KRISPjeans","chifightfor15"
"30345","SaVonniYestanti","MassInterfaith"
"30346","TexasSuzLB","LibsNoFun"
"30347","_donnashelton","michellemalkin"
"30348","ninja_CE","Fightfor15LA"
"30349","kraw","SenWarren"
"30350","JenDinnj","michellemalkin"
"30351","RaiseUpMA","32BJSEIU"
"30352","Diszident","SenSanders"
"30353","Bootz374","SenSanders"
"30354","bposeidonwins1","EdmondScofield"
"30355","JohnnyQuest100","altageno"
"30356","lltwing","ChrisMurphyCT"
"30357","CarmoSteph","RepDonnaBullock"
"30358","Abu1916","chifightfor15"
"30359","mk8823","SenSanders"
"30360","gatornogatorno","ATLRaiseUp"
"30361","DeeLouiseWhitn1","michellemalkin"
"30362","neil_gehrke","PCsBeard"
"30363","bobsmith2111","michellemalkin"
"30364","BradyHallSF11","EdmondScofield"
"30365","electricvail","ATLRaiseUp"
"30366","fourthetto","SenSanders"
"30367","suupsaige","chifightfor15"
"30368","SaVonniYestanti","chasingthedream"
"30369","scottbagg","michellemalkin"
"30370","MarieJenkins10","fightfor15"
"30371","suavecita31","SenSanders"
"30372","PeoplePowMedia","CPASF"
"30373","lockedkingster","ms_erika74"
"30374","Wilson46201","fightfor15mass"
"30375","debfromca","ChrisJZullo"
"30376","EsWong1","MarkRuffalo"
"30377","timgone","sameyjay"
"30378","DazzSands","SenWarren"
"30379","mlk1223","UR_Ninja"
"30380","PeoplePowMedia","stopsfevictions"
"30381","e_baldi","MarisaKendall"
"30382","dkapplesaplings","SenSanders"
"30383","lsteinreporter","michellemalkin"
"30384","Jehoshua_F","SareanaKimia"
"30385","Gabriel_Erbs","fightfor15"
"30386","stopsfevictions","housingrightsSF"
"30387","cacameronGOP","AnthonyBialy"
"30388","BadgerStew","SenSanders"
"30389","Foibdh1","TheMichaelRock"
"30390","LisCanning","SenSanders"
"30391","KimKacer","RaiseUpfor15"
"30392","poohsbrana","FightFor15FL"
"30393","SandiBehrns","Fightfor15LA"
"30394","R6Rider","NewsHour"
"30395","DianeSnavely","MarkRuffalo"
"30396","PeoplePowMedia","NorCalFF15"
"30397","lewishardy","rational_rant"
"30398","SaVonniYestanti","10NewsRBianco"
"30399","hardcorejavi9","raider_truth"
"30400","KimKacer","ATLRaiseUp"
"30401","lawatmargins","annette_bern"
"30402","cdmireles","SenSanders"
"30403","Joe_Calexit","NuitDeboutUSA"
"30404","AndIknewUwhen","tomborelli"
"30405","leoluminary","NewsHour"
"30406","MarieJenkins10","masseydaniel"
"30407","JenDinnj","scrowder"
"30408","BikeRepairguy","kjgillenwater"
"30409","BevPayton","SenWarren"
"30410","elisha1022","BostonMagazine"
"30411","SandiBehrns","ProgCongressAct"
"30412","CynthiaMN5","CTUL_TC"
"30413","BernieBuddy16","SenWarren"
"30414","SaVonniYestanti","seiu1021"
"30415","mldy1988","AFSCME"
"30416","newlinla","DemSocialists"
"30417","lawatmargins","seiu1021"
"30418","thebling_vote","SenWarren"
"30419","KlMDRAKE","EconomicPolicy"
"30420","didacjoanj","BLACKFLAGchi"
"30421","squirrel_doom","chifightfor15"
"30422","Sozialchrist","SenWarren"
"30423","aishlingmara","Fightfor15LA"
"30424","mk8823","Fightfor15LA"
"30425","lawatmargins","SenWarren"
"30426","MLTneeRhodette","AtlTeaPartyLove"
"30427","Joe_Calexit","DCist"
"30428","helenapatrikiou","SenWarren"
"30429","poohsbrana","SenSanders"
"30430","mariyastrauss","Show_Me15"
"30431","michaelkeyes","tomborelli"
"30432","BrianDunn1","SOPublicSchools"
"30433","CynthiaMN5","seiumn"
"30434","Merkinstein","DCist"
"30435","hardcorejavi9","scrowder"
"30436","Jim_B60","UR_Ninja"
"30437","CorruptMugshots","EconomicPolicy"
"30438","ZachInFlight","DCist"
"30439","FF15ChildCare","Fightfor15LA"
"30440","Kamyarjarah","chifightfor15"
"30441","afarnitano","32BJSEIU"
"30442","megfred","fightfor15"
"30443","MottaBeRidin","SenSanders"
"30444","MindMappingMBA","TheMarkRomano"
"30445","mopper64","SenWarren"
"30446","tallies53","SenWarren"
"30447","LaGrande97","SenWarren"
"30448","purplestar2015","MCorreaKHOU"
"30449","mycalw","SenSanders"
"30450","didacjoanj","BLACKFLAGchi"
"30451","mlk1223","GatorsEite23"
"30452","chris_mccolgan","SenWarren"
"30453","raisingca","Fightfor15LA"
"30454","SaVonniYestanti","SareanaKimia"
"30455","poohsbrana","SenSanders"
"30456","MariaLiaCalvo","chifightfor15"
"30457","lawatmargins","seiufl"
"30458","tylerwarren364","scrowder"
"30459","joseph_m_phares","AMillennialMind"
"30460","ringer_01","PCsBeard"
"30461","marxismocritico","PortDriverUnion"
"30462","MindMappingMBA","scrowder"
"30463","Tomaskenn","seiufl"
"30464","CynthiaMN5","seiumn"
"30465","ElliotGeno","SenSanders"
"30466","AU_bebe","Corporatocrazy"
"30467","Dead_Igilaz","EconomicPolicy"
"30468","kvelassie","SenSanders"
"30469","rokennw","EconomicPolicy"
"30470","StephieKemmerer","FightFor15FL"
"30471","gacevero","chifightfor15"
"30472","Scarlet36454992","ajplus"
"30473","robin1120","ChrisMurphyCT"
"30474","morgmeneshets","URGE_org"
"30475","elisha1022","seiuhcpa"
"30476","gacevero","SenWarren"
"30477","malinicadambi","marybemcmillan"
"30478","Kills_4_Thrills","raider_truth"
"30479","DavidCosgrove1","P4WF"
"30480","13Photography","luke_davenport"
"30481","gracecmorris","FightFor15FL"
"30482","raffi_too","JustinLStewart"
"30483","CynthiaMN5","seiumn"
"30484","veroflaptor","NewsHour"
"30485","raffi_too","jennifergould"
"30486","cherieannparker","seiu1021"
"30487","MarkDavis","michellemalkin"
"30488","VernaPolitics","fightfor15"
"30489","MichaelMurphyNY","chifightfor15"
"30490","peter_donnelly","SenWarren"
"30491","NewsDailyLA","KaraFinnstrom"
"30492","ms_msmarshas","stopsfevictions"
"30493","halsirish","DCist"
"30494","21st_C_Poet","michalrozworski"
"30495","elaineprettyeye","JCL_VT"
"30496","gracecmorris","Show_Me15"
"30497","CynthiaMN5","seiumn"
"30498","ChildofLuso","EdmondScofield"
"30499","FrancescoCarr11","Fightfor15LA"
"30500","stopsfevictions","NorCalFF15"
"30501","DrDowder","TheMarkRomano"
"30502","WEHAVEAFUTURE","SenWarren"
"30503","Landreo55","SenWarren"
"30504","jamesvanwag","fightfor15mass"
"30505","Tomaskenn","seiufl"
"30506","therealdomaud","scrowder"
"30507","StevePuterski","GeneCBS8"
"30508","spielman_ginger","1alyssakang"
"30509","dayumkristen","SenSanders"
"30510","spaniard29","SenWarren"
"30511","raffi_too","incrediblemoo"
"30512","deneenborelli","tomborelli"
"30513","dayumkristen","SenSanders"
"30514","GoodAirports","Fightfor15LA"
"30515","obamanona","ajplus"
"30516","raffi_too","PalmTreesnGz"
"30517","GoodAirports","Fightfor15LA"
"30518","nonnagina2301","Marc_Perrone"
"30519","Enter_Redneck","jawesomeberg"
"30520","CynthiaMN5","fightfor15"
"30521","SIPA1998","NewsHour"
"30522","MEmsellem","NelpNews"
"30523","GoodAirports","Fightfor15LA"
"30524","DavidCosgrove1","SenWarren"
"30525","ws_kamau","EconomicPolicy"
"30526","raffi_too","seiu_uhw"
"30527","kayaws_head","SenSanders"
"30528","PLLimAddicted","EconomicPolicy"
"30529","obamanona","ChrisMurphyCT"
"30530","raffi_too","SEIU721"
"30531","JkbComic","tomborelli"
"30532","DeplorableJayon","tomkawczynski"
"30533","LynnMoo36681123","LawlessPirate"
"30534","speculumfight","1alyssakang"
"30535","QueenGeeD","EdmondScofield"
"30536","stopsfevictions","TenantsTogether"
"30537","outersamradius","zachhaller"
"30538","JenDinnj","raider_truth"
"30539","mysteryelectric","FightFor15WI"
"30540","raffi_too","AchiroHero"
"30541","obamanona","NewsHour"
"30542","LivingNLight","SenWarren"
"30543","raffi_too","FOXLA"
"30544","fivek","jobhaver"
"30545","rcrockett","chifightfor15"
"30546","Chofu69","Just_a_Texan"
"30547","Cmrtnzlove","SenWarren"
"30548","fightfor15","PortDriverUnion"
"30549","KRISPjeans","CDRosa"
"30550","hoods4justice","UR_Ninja"
"30551","TheOfficialNews","NewsHour"
"30552","ChrisJeffries24","MDfor15"
"30553","obamanona","ChrisJZullo"
"30554","CudBlay","MoveOn"
"30555","outersamradius","chifightfor15"
"30556","BeAccountable4u","scrowder"
"30557","Egalitare","JohnFetterman"
"30558","repairrestores1","SenWarren"
"30559","raffi_too","fightfor15"
"30560","SaVonniYestanti","MDfor15"
"30561","outersamradius","EconomicPolicy"
"30562","BeAccountable4u","michellemalkin"
"30563","pppatticake","Fightfor15LA"
"30564","workdaymn","CTUL_TC"
"30565","raffi_too","DerenicByrd"
"30566","SandiBehrns","chifightfor15"
"30567","realnickgraves","SenWarren"
"30568","klh1119","SenWarren"
"30569","suavecita31","SenSanders"
"30570","obamanona","SenWarren"
"30571","RyanFlorek17","ChrisMurphyCT"
"30572","nmomminator","SenWarren"
"30573","schrecc","Fightfor15LA"
"30574","MattPitts_","_ThatGuyT"
"30575","raffi_too","chifightfor15"
"30576","TimFlobug","UR_Ninja"
"30577","AlexSteffen","jessekb"
"30578","RyanFlorek17","SenSherrodBrown"
"30579","Gypsysoulpcb","CarlKenner"
"30580","_VickiGass","NewsHour"
"30581","zooney06","michellemalkin"
"30582","PatriciaFallo10","scrowder"
"30583","elisha1022","FightFor15FL"
"30584","TenantsTogether","annette_bern"
"30585","CynthiaMN5","Fightfor15LA"
"30586","raffi_too","GatorsEite23"
"30587","gingergraceb","SenSanders"
"30588","catlaff","GeneCBS8"
"30589","joencan","SenSanders"
"30590","Lidia629","RoseAnnDeMoro"
"30591","candice_versace","EconomicPolicy"
"30592","ettacetera","fightfor15"
"30593","explorelife","SenWarren"
"30594","SaVonniYestanti","Fightfor15LA"
"30595","ettacetera","ATLRaiseUp"
"30596","Bethg15918812","SenWarren"
"30597","leerushsmith","TheMarkRomano"
"30598","CynthiaMN5","32BJSEIU"
"30599","KhanOnaisa","mohammadshaikh_"
"30600","CynthiaMN5","seiufl"
"30601","pgrandee10","GoodAirports"
"30602","rae_muk","fightfor15"
"30603","Joseph_miller","MattWalshBlog"
"30604","RyanFlorek17","SenWarren"
"30605","KalElBogdanove","SenWarren"
"30606","ettacetera","fightfor15"
"30607","LiftingLA","URGE_org"
