"","retweeter","retweeted"
"245","continentaldrop","AmyMTraub"
"246","Crooow1","Kaimandante"
"247","LadnerDladner","TheFoundingSon"
"248","lonestarmango","DeepSouthProud"
"249","clairesnyderhal","FightFor15FL"
"250","JimbolandJots","MarkRuffalo"
"251","carocarocjdl","SenSanders"
"252","kadenyap","TheFoundingSon"
"253","Deplorable_Ed","TimRunsHisMouth"
"254","PattiBerry31666","TimRunsHisMouth"
"255","AlegnaXXV","TimRunsHisMouth"
"256","MullenPmullen","fightfor15"
"257","JTStover","DeepSouthProud"
"258","eeners","DeepSouthProud"
"259","aurora_g96","DeepSouthProud"
"260","aldaelectrician","fightfor15"
"261","Britpoptarts","chifightfor15"
"262","unitehere","ATLRaiseUp"
"263","aldaelectrician","chifightfor15"
"264","Tmkerry204","DeepSouthProud"
"265","BBoyer1969","DeepSouthProud"
"266","AriDavidUSA","DeepSouthProud"
"267","jrbixby","TimRunsHisMouth"
"268","mk_wigginton","DeepSouthProud"
"269","yinyoung","n_takekawa"
"270","grannie12001","TimRunsHisMouth"
"271","_TeamFlores","DeepSouthProud"
"272","scottandrewh","ATLRaiseUp"
"273","Zoor","laura_garvock"
"274","lorizellmill","TheFoundingSon"
"275","3labsandaguy","SenSanders"
"276","Show_Me15","ATLRaiseUp"
"277","msgoddessrises","DeepSouthProud"
"278","Mysticeagle1","DeepSouthProud"
"279","Lonestarmomcom","DeepSouthProud"
"280","BanditGolf","DeepSouthProud"
"281","mikehighleysr","TheFoundingSon"
"282","TexasLiberty15","TheFoundingSon"
"283","SteegVan","LizWarren_2020"
"284","r0ma_invicta","TheFoundingSon"
"285","NataFerreira25","FF15HomeCare"
"286","AJOnlyBetter","TheFoundingSon"
"287","NataFerreira25","FF15HomeCare"
"288","Dremz_R_Free","ChrisJZullo"
"289","Zimmshady","TheFoundingSon"
"290","apoet4justice","jwjnational"
"291","laRossa05","laura_garvock"
"292","apoet4justice","AFSCMEMN5"
"293","so_a_honeybee","DannyNSFL"
"294","5QU1RR3LZ","HymieDoucheman"
"295","MtthewRubiin","FF15HomeCare"
"296","DavidApsens","DeepSouthProud"
"297","frolz12","EconomicPolicy"
"298","ensignbay","DeepSouthProud"
"299","GarionCoyote","laura_garvock"
"300","KeyKristy","fightfor15"
"301","KeyKristy","Show_Me15"
"302","girlmoving","DeepSouthProud"
"303","KeyKristy","NorCalFF15"
"304","burnodo","FF15HomeCare"
"305","peterdrysdale1","DeepSouthProud"
"306","bravospur","Kaimandante"
"307","NorCalFF15","FF15HomeCare"
"308","FightFor15WI","FF15HomeCare"
"309","Fightfor15LA","FF15HomeCare"
"310","4evrstardancer","fightfor15"
"311","4evrstardancer","FightFor15FL"
"312","KeyKristy","ATLRaiseUp"
"313","BlgaethGaeth","TheFoundingSon"
"314","dime85sg","bradlander"
"315","mjkirtley","syashingo"
"316","LongfellowJean","fightfor15"
"317","lizcaissie","RevDrBarber"
"318","KeyKristy","fightfor15"
"319","mariluna329","LizWarren_2020"
"320","txjean2014","DeepSouthProud"
"321","KeyKristy","FightFor15FL"
"322","MinnePuffin","MarkRuffalo"
"323","MaximusAthos","ILoveBernie1"
"324","MaximusAthos","ILoveBernie1"
"325","bdaraio","FightFor15FL"
