"","screenName","retweetCount","text","duplicated","Type"
"55","GatorsEite23",211,"This morning in Miami. Pics via @Tomaskenn: Fast food workers fighting for $15 an hour! #FightFor15 @seiufl… https://t.co/L36KhmmnHl",FALSE,"4"
"56","AbbyMartin",209,"Fast food workers are grossly underpaid, earning on average $18,000 per year or $8.93 cents per hour. I support the #Fightfor15 @Fightfor15",FALSE,NA
"57","AFLCIO",209,"We stand with #FightFor15 and #PovertyDoesntFly workers who are striking today for fair wages and a better life. https://t.co/VZiy9Ntk9X",FALSE,"1"
"58","FreeDavidKing",206,"Twitter removed this shirt at least 80 times this month. Share the hell out of it please.

Buy:… https://t.co/t9SRHyvb41",FALSE,NA
"59","Show_Me15",190,"This is what it looks like when we fight back. This is what a day of disruption looks like. ✊ #Fightfor15 https://t.co/ovM3Y3Yjpd",FALSE,"6"
"60","_ThatGuyT",189,"Working 40 hours doesn't entitle you to $15

Having kids doesn't entitle you to $15

Learn skills then you can NEGOTIATE for $15 #Fightfor15",FALSE,NA
"61","Marc_Perrone",185,"This #Boss,

Knows Working People &amp; the Benefits of Working #Union!

Thanks Bruce #Springsteen.

#1u #SundayMorning… https://t.co/lM1NBxM5IU",FALSE,"1"
"62","NicholsUprising",178,"The #Fightfor15 declares ""We Won't Back Down!"" In cities across the United States, workers strike today for living… https://t.co/oK5onNYW4x",FALSE,"5"
"63","Fightfor15LA",174,"Tomorrow we'll be on strike, and we'll be disrupting more than our workplaces. Pass it on: https://t.co/AmZu2trB12… https://t.co/fhTjaMea77",FALSE,"6"
"64","Show_Me15",173,"The Memphis #FightFor15 strike is beautiful and powerful and a reminder that we won't back down! https://t.co/nSkjfN7arb",FALSE,"6"
"65","Latinos4Bernie",171,"BREAKING: Workers on STRIKE. Arrests happening now across the country. Follow #FightFor15 + https://t.co/OO82x5dggS… https://t.co/kAPA380h3e",FALSE,"1"
"66","chifightfor15",170,"Breaking: These are the hundreds of #Chicago O'Hare airport workers that are ON STRIKE with the #Fightfor15… https://t.co/DbY1ROii6a",FALSE,"6"
"67","RoseAnnDeMoro",166,"Thousands of low wage workers are taking action today to demand a livable wage and the right to organize!… https://t.co/cdvSGW5EAp",FALSE,"5"
"68","chifightfor15",165,"""We are not going to back down until we win $15 &amp; union rights. We don't want to just survive, we want to thrive""… https://t.co/3ZW3QLIXRx",FALSE,"6"
"69","chifightfor15",162,"""I got arrested because I'm tired of living paycheck to paycheck"" Doris Evans, McDs worker #Fightfor15 https://t.co/QgXK1HuX63",FALSE,"6"
"70","People4Bernie",160,"Tuesday, be the resistance: https://t.co/rjFVW3uJsx 

Get involved online: https://t.co/0Ywiz5BsSZ #FightFor15 https://t.co/2AcYkPa8Od",FALSE,"6"
"71","scrowder",157,"Surprise =&gt; #FightFor15 Backfires Majorly: Wage Hikes Cause Mass Job Loss... https://t.co/rKwWXazh3C https://t.co/iIr42ds4st",FALSE,"5"
"72","chifightfor15",152,"Tomorrow we are on strike! We are women, we are parents, students, and hard workers. We deserve more. #FightFor15 https://t.co/tjGWKMjYt7",FALSE,"6"
"73","fightfor15",152,"McDonald's PR VS Reality. ������ #FightFor15 https://t.co/SjCzWQuSup",FALSE,"6"
"74","JoshClarkDavis",151,"""As a follower of Christ, how can I not stand with the poor?""

@RevDrBarber of @ncnaacp stands up for what's right… https://t.co/QUCuIal710",FALSE,NA
"75","chifightfor15",150,"BREAKING: Chicago fast food &amp; airport workers are ON STRIKE because we won't back down until we win #Fightfor15 https://t.co/SVc3b7mBlI",FALSE,"6"
"76","chifightfor15",148,"The majority of us are Black and Latina women raising families and communities and seeking a more just society… https://t.co/YIbBCkBDKn",FALSE,"6"
"77","MisterMetokur",146,"""My name is burgerbot and I will never fuck up your order.""  Coming soon.

#Fightfor15 https://t.co/E7Fkjj9P8B",FALSE,"5"
"78","ChrisMurphyCT",145,"I support the #Fightfor15 because employees shouldn't be living in poverty while the companies they work for make billions in profit.",FALSE,"2"
"79","AriseChicago",145,"Massive banner drop at the #Fightfor15 strike in Chicago! https://t.co/jXg8vvQkYO",FALSE,"1"
"80","chifightfor15",144,"Ain't no power like the power of the people 'cause the power of the people don't stop! #Fightfor15 https://t.co/mRpKaPhsQA",FALSE,"6"
"81","JessLivMo",143,"Paying workers $15 an hour for honest work means we will pay $0.17 more per Big Mac. Put me down for two!  #fightfor15",FALSE,"4"
