Source,Target,Type,id,label,timeset,weight
fightfor15,KCTomDempsey,Directed,20181,,,3.0
CTUL_TC,ryanstopera,Directed,20397,,,1.0
mnnoc,ryanstopera,Directed,20622,,,1.0
RaiseUpfor15,KCTomDempsey,Directed,20633,,,1.0
chifightfor15,RaiseUpfor15,Directed,20813,,,5.0
chifightfor15,ATLRaiseUp,Directed,20826,,,1.0
chifightfor15,NCFaculty,Directed,20841,,,1.0
figue32bj,MoveOn,Directed,20865,,,2.0
MaryKayHenry,DerrickQLewis,Directed,21082,,,1.0
SEIU,DerrickQLewis,Directed,21105,,,1.0
RaiseUpfor15,standup_kc,Directed,21237,,,1.0
figue32bj,RaiseUpfor15,Directed,21308,,,1.0
fightfor15,The_Gambit,Directed,21587,,,1.0
fightfor15texas,TexasObserver,Directed,21813,,,1.0
GoodAirports,MarkRuffalo,Directed,21983,,,1.0
LeahRBoss,somethingldsay,Directed,21991,,,1.0
FightFor15FL,TexasObserver,Directed,22135,,,1.0
fightfor15,TexasObserver,Directed,22192,,,1.0
People4Bernie,People4Bernie,Directed,22468,,,2.0
GoodAirports,NCFaculty,Directed,22476,,,1.0
fightfor15,CTUL_TC,Directed,22860,,,3.0
fightfor15,mnnoc,Directed,23340,,,2.0
SEIU,RaiseUpfor15,Directed,23381,,,4.0
fightfor15,LUCHA_AZ,Directed,23672,,,3.0
fightfor15,UR_Ninja,Directed,23958,,,4.0
RaiseUpfor15,RaiseUpfor15,Directed,24127,,,3.0
fightfor15,UAW,Directed,24149,,,2.0
32BJSEIU,fightfor15,Directed,24164,,,2.0
fightfor15,DerrickQLewis,Directed,24190,,,1.0
RaiseUpfor15,ATLRaiseUp,Directed,24203,,,4.0
figue32bj,greenhousenyt,Directed,24429,,,1.0
CaliforniaLabor,EconomicPolicy,Directed,24497,,,1.0
standup_kc,KCTomDempsey,Directed,24664,,,1.0
LawlessPirate,LawlessPirate,Directed,24732,,,1.0
fightfor15mass,MarkRuffalo,Directed,25046,,,1.0
NorCalFF15,FightFor15FL,Directed,25071,,,2.0
Fightfor15LA,FightFor15FL,Directed,25074,,,3.0
FastFoodForward,FightFor15FL,Directed,25076,,,2.0
FF15ChildCare,sierraclub,Directed,25106,,,1.0
OccupyWallStNYC,Show_Me15,Directed,25263,,,2.0
fightfor15,MaryKayHenry,Directed,25308,,,2.0
NorCalFF15,FightFor15PA,Directed,25617,,,2.0
Fightfor15LA,FightFor15PA,Directed,25620,,,2.0
FastFoodForward,FightFor15PA,Directed,25622,,,2.0
fightfor15,jacobinmag,Directed,25869,,,1.0
People4Bernie,FightFor15PA,Directed,25998,,,4.0
scapelliti,GatorsEite23,Directed,26100,,,2.0
seiufl,GatorsEite23,Directed,26332,,,2.0
aequitas1500,fightfor15,Directed,26399,,,1.0
People4Bernie,NorCalFF15,Directed,26458,,,2.0
jwjnational,fightfor15,Directed,26495,,,2.0
People4Bernie,PghUNITED,Directed,26594,,,1.0
FF15ChildCare,FightFor15PA,Directed,26718,,,1.0
