,id,label,timeset,Type,indegree,outdegree,degree,weighted.indegree,weighted.outdegree,weighted.degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
1208,BenSpielberg,BenSpielberg,NA,4,127,5,132,127,5,132,13,247280334728033,325276838221001,300021947866564,0,0,324
1922,Tim_Canova,Tim_Canova,NA,5,126,2,128,126,2,128,14,207210360518026,252664021414021,289118266157276,0,0,398
6873,LUCHA_AZ,LUCHA_AZ,NA,1,122,9,131,137,9,146,11,287731256085686,357445069500908,148359856547589,0,0,324
6798,masseydaniel,masseydaniel,NA,4,120,2,122,130,2,132,14,204215618521078,247890509565636,483207085894316,0,0,324
9705,Complex,Complex,NA,3,116,0,116,116,0,116,0,0,0,0,0,0,1648
4435,SenSherrodBrown,SenSherrodBrown,NA,2,115,0,115,115,0,115,0,0,0,0,0,0,68
2162,ryanstopera,ryanstopera,NA,4,113,1,114,113,1,114,13,245840266222962,319552077927713,536109101114498,0,0,324
427,ReelectBernie,ReelectBernie,NA,6,112,0,112,164,0,164,0,0,0,0,0,0,363
4117,caroljsroth,caroljsroth,NA,5,112,0,112,114,0,114,0,0,0,0,17,0,94
4963,RT_America,RT_America,NA,3,111,0,111,118,0,118,0,0,0,0,0,0,1116
1176,SEIU,SEIU,NA,1,109,36,145,124,65,189,13,26986301369863,384405836690101,54829296086612,0,0,324
2265,itsRamel,itsRamel,NA,5,109,0,109,109,0,109,0,0,0,0,0,0,1514
234,CaliforniaLabor,CaliforniaLabor,NA,1,108,4,112,123,5,128,14,2097232079489,259879873839264,351344393519174,0,0,324
3449,JCL_VT,JCL_VT,NA,5,107,0,107,112,0,112,0,0,0,0,0,0,52
7814,UAW,UAW,NA,1,104,0,104,112,0,112,0,0,0,0,0,0,56
3170,MattWalshBlog,MattWalshBlog,NA,5,102,0,102,102,0,102,0,0,0,0,17,0,1159
3240,JacquesLoveall,JacquesLoveall,NA,5,102,0,102,103,0,103,0,0,0,0,0,0,425
590,KamalaHarris,KamalaHarris,NA,2,97,0,97,98,0,98,0,0,0,0,0,0,338
3671,ScottPresler,ScottPresler,NA,5,94,0,94,94,0,94,0,0,0,0,17,0,137
3453,LeahRBoss,LeahRBoss,NA,5,86,2,88,86,2,88,1,1,1,124585,17,0,134
30,PascoRevolution,PascoRevolution,NA,1,84,1,85,100,1,101,1,1,1,12213,0,0,222
358,aequitas1500,aequitas1500,NA,6,83,9,92,95,15,110,13,25105663567202,332099634372362,468016126678877,91,0,700
3523,JimmyPrinceton,JimmyPrinceton,NA,5,81,0,81,81,0,81,0,0,0,0,17,0,190
5727,greenhousenyt,greenhousenyt,NA,5,81,0,81,85,0,85,0,0,0,0,0,0,40
2057,acbowen,acbowen,NA,4,80,0,80,94,0,94,0,0,0,0,0,0,200
5963,PghUNITED,PghUNITED,NA,1,80,2,82,102,2,104,14,208025343189018,254308203546782,326971863965435,0,0,324
17636,CommsUnited,CommsUnited,NA,1,80,5,85,112,10,122,14,208245243128964,259199026204102,410278533692247,0,0,324
5860,KCTomDempsey,KCTomDempsey,NA,5,79,0,79,106,0,106,0,0,0,0,0,0,275
6720,PLANevada,PLANevada,NA,1,78,8,86,90,10,100,13,246970330129545,32646127138513,702936136891124,0,0,324
2413,seiufl,seiufl,NA,1,77,20,97,95,32,127,13,257853403141361,35440825390064,668203035042773,0,0,324
6738,NBCNews,NBCNews,NA,3,76,0,76,79,0,79,0,0,0,0,0,0,313
5388,emrutherford90,emrutherford90,NA,4,74,0,74,74,0,74,0,0,0,0,17,0,92
113,SenWarren2020,SenWarren2020,NA,1,73,3,76,93,3,96,15,175879396984925,208937789568042,140370455657339,0,0,485
339,bradlander,bradlander,NA,5,73,4,77,86,5,91,14,210470085470085,261805584902031,536577210458885,0,0,324
4373,PCsBeard,PCsBeard,NA,4,73,1,74,75,1,76,1,1,1,73,17,0,1666
6696,ms_erika74,ms_erika74,NA,4,73,1,74,73,1,74,0,0,0,0,17,0,90
723,squidartdotcom,squidartdotcom,NA,4,72,5,77,87,6,93,13,250423728813559,329555300875098,186792209183537,0,0,324
