"","id","betweenesscentrality.x","X","label","timeset","Type","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality.y","modularity_class","componentnumber","strongcompnum"
"74","NBisno",50147.0634518791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","JoshNoneYaBiz",49351.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","abowersock",49149.0801896199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2016Republic",48878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","DanielleVFreman",48874.0067203957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","masseydaniel",48320.7085894316,6798,"masseydaniel",NA,4,120,2,122,130,2,132,14,204215618521078,247890509565636,483207085894316,0,0,324
"80","aequitas1500",46801.6126678877,358,"aequitas1500",NA,6,83,9,92,95,15,110,13,25105663567202,332099634372362,468016126678877,91,0,700
"81","RobinHoodTax",45515.3846229883,1034,"RobinHoodTax",NA,6,153,6,159,184,8,192,13,250848896434635,330683332459983,455153846229883,0,0,324
"82","afarnitano",44434.2405122847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","sweetpeaseason",43166.9334351069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","RollwindPharmer",42772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","zachhaller",42693.6437257724,66,"zachhaller",NA,5,142,5,147,155,6,161,14,208907741251326,260129652261631,426936437257724,0,0,324
"86","mnnoc",42325.4551755854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LauraKMM",41259.4685880296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","CommsUnited",41027.8533692247,17636,"CommsUnited",NA,1,80,5,85,112,10,122,14,208245243128964,259199026204102,410278533692247,0,0,324
"89","jasiri_x",40977.9209189503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","SEIUForwardNC",37569.7854052634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","workmenscircle",37518.3613394285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","FUUNO",37412.5958202345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","BLMChi",37388.9439255189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","aMustReid",37034.901928962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","sara_dinatale",36588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","LandonWhite_",36588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","CMcGeeIII",36524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","OurRevolution2",36510.0606873811,371,"OurRevolution2",NA,6,136,2,138,191,2,193,14,207732864674868,255532923553227,365100606873811,0,0,324
"99","FacultyForward",36468.9982965767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Demos_Org",35543.1916637625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
