Source,Target,Type,id,label,timeset,weight
alienorders,syashingo,Directed,486,,,2.0
sakeuchi317,aequitas1500,Directed,488,,,1.0
poem_japan,aequitas1500,Directed,489,,,1.0
v_verite,SenSanders,Directed,490,,,1.0
akihito_aki,syashingo,Directed,491,,,1.0
JJMCCABE2,BernieCrats1,Directed,492,,,1.0
wako7232,syashingo,Directed,493,,,6.0
negotohaneteie,aequitas1500,Directed,495,,,1.0
kathleenkent,SenWarren2020,Directed,496,,,1.0
SansaRising,Fightfor15LA,Directed,497,,,1.0
shiraike,syashingo,Directed,498,,,1.0
kathleenkent,RebootDNC,Directed,499,,,1.0
jaw6,Kaimandante,Directed,500,,,1.0
bernierockson,Fightfor15LA,Directed,501,,,1.0
izuta_kaoru,syashingo,Directed,502,,,3.0
HARD_GAY_COP,Kaimandante,Directed,505,,,1.0
Neomad84,BernieCrats1,Directed,507,,,1.0
789yassan,aequitas1500,Directed,508,,,2.0
NonsenseEnd,ILoveBernie1,Directed,509,,,1.0
raindrops98,aequitas1500,Directed,510,,,1.0
doug_fresco,SenSanders,Directed,511,,,2.0
winterdongtian1,Sentinel2NO,Directed,512,,,1.0
115257888a,aequitas1500,Directed,513,,,1.0
jhfridhem1,SenSanders,Directed,514,,,1.0
aequitas1500,aequitas1500,Directed,515,,,2.0
DerekHannity,SenSanders,Directed,516,,,1.0
SelmaJonque,SenSanders,Directed,517,,,2.0
Forbrydelsenfan,Fightfor15LA,Directed,518,,,2.0
BernieVolunteer,SenSanders,Directed,519,,,2.0
SansaRising,SenSanders,Directed,520,,,1.0
joseper61465764,ILoveBernie1,Directed,521,,,1.0
Forbrydelsenfan,SenSanders,Directed,522,,,1.0
jeyiuarez,wbpnetdotorg,Directed,524,,,1.0
ALeftoverture,Fightfor15LA,Directed,525,,,1.0
BernieVolunteer,Fightfor15LA,Directed,526,,,1.0
cvharquail,Demos_Org,Directed,527,,,1.0
ItsMePing_t,UR_Ninja,Directed,528,,,1.0
josemarioochoa,SSludgeworth,Directed,529,,,1.0
StDxExcallbur,wbpnetdotorg,Directed,530,,,1.0
buylheartgames,wbpnetdotorg,Directed,531,,,1.0
albertllorens2,ericardo3,Directed,532,,,1.0
kameido_hiro,aequitas1500,Directed,533,,,2.0
knazawa_kazuko,syashingo,Directed,534,,,1.0
kan18480331,aequitas1500,Directed,535,,,1.0
wbpnetdotorg,wbpnetdotorg,Directed,536,,,1.0
GlamGOBErt,syashingo,Directed,537,,,2.0
gayatri_records,syashingo,Directed,538,,,3.0
leehlawrence,jwjnational,Directed,540,,,1.0
Lol_Cockpragdis,DW_Bobbyisms,Directed,541,,,1.0
usakojpn,syashingo,Directed,542,,,1.0
mcardone25,SenWarren,Directed,544,,,1.0
mipoko611,aequitas1500,Directed,545,,,1.0
mcgingly,Kaimandante,Directed,546,,,1.0
yukhimula,aequitas1500,Directed,547,,,1.0
uheho,syashingo,Directed,548,,,1.0
VV4Change,ericbyler,Directed,549,,,1.0
yamwunsaen,syashingo,Directed,550,,,1.0
hiyoko_mame63,aequitas1500,Directed,551,,,1.0
