id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
marilynrbush,marilynrbush,,0,3,3,0.0,3.0,3.0,13.0,0.2297244858362437,0.2849550224550224,0.0,0,0,22970
motorhogman,motorhogman,,0,1,1,0.0,1.0,1.0,13.0,0.1195959595959596,0.13406825438075512,0.0,17,0,22971
virgo2757,virgo2757,,0,2,2,0.0,2.0,2.0,2.0,0.6666666666666666,0.75,0.0,17,0,22972
madmaddiie,madmaddiie,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22973
ts422a,ts422a,,0,1,1,0.0,1.0,1.0,2.0,0.5454545454545454,0.5833333333333334,0.0,17,0,22974
Vilar2020,Vilar2020,,0,1,1,0.0,1.0,1.0,14.0,0.20527045769764216,0.2503675284925279,0.0,0,0,22975
ticklemeconcon,ticklemeconcon,,0,2,2,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,22976
AAECWM,AAECWM,,0,1,1,0.0,2.0,2.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,22977
mainolfi_angelo,mainolfi_angelo,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22978
gdjudge,gdjudge,,0,1,1,0.0,1.0,1.0,13.0,0.1195959595959596,0.13406825438075512,0.0,17,0,22979
LChrisHunt,LChrisHunt,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22980
Johnfrededdy,Johnfrededdy,,0,1,1,0.0,1.0,1.0,14.0,0.2072103605180259,0.2526640214140207,0.0,0,0,22981
purelychia,purelychia,,0,3,3,0.0,3.0,3.0,13.0,0.24615384615384617,0.32126454626454654,0.0,0,0,22982
viejolex1,viejolex1,,0,2,2,0.0,2.0,2.0,13.0,0.24635871826883063,0.32112378049878076,0.0,0,0,22983
spoookysapphic,spoookysapphic,,0,5,5,0.0,6.0,6.0,13.0,0.23389964440932437,0.29497754497754497,0.0,0,0,22984
marydashkate,marydashkate,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22985
tim24frames,tim24frames,,0,3,3,0.0,3.0,3.0,13.0,0.2331626624655376,0.2916112322362321,0.0,0,0,22986
